%time,field.header.seq,field.header.stamp,field.header.frame_id,field.markers0.header.seq,field.markers0.header.stamp,field.markers0.header.frame_id,field.markers0.ns,field.markers0.id,field.markers0.type,field.markers0.action,field.markers0.pose.position.x,field.markers0.pose.position.y,field.markers0.pose.position.z,field.markers0.pose.orientation.x,field.markers0.pose.orientation.y,field.markers0.pose.orientation.z,field.markers0.pose.orientation.w,field.markers0.scale.x,field.markers0.scale.y,field.markers0.scale.z,field.markers0.color.r,field.markers0.color.g,field.markers0.color.b,field.markers0.color.a,field.markers0.lifetime,field.markers0.frame_locked,field.markers0.text,field.markers0.mesh_resource,field.markers0.mesh_use_embedded_materials,field.markers1.header.seq,field.markers1.header.stamp,field.markers1.header.frame_id,field.markers1.ns,field.markers1.id,field.markers1.type,field.markers1.action,field.markers1.pose.position.x,field.markers1.pose.position.y,field.markers1.pose.position.z,field.markers1.pose.orientation.x,field.markers1.pose.orientation.y,field.markers1.pose.orientation.z,field.markers1.pose.orientation.w,field.markers1.scale.x,field.markers1.scale.y,field.markers1.scale.z,field.markers1.color.r,field.markers1.color.g,field.markers1.color.b,field.markers1.color.a,field.markers1.lifetime,field.markers1.frame_locked,field.markers1.points0.x,field.markers1.points0.y,field.markers1.points0.z,field.markers1.points1.x,field.markers1.points1.y,field.markers1.points1.z,field.markers1.text,field.markers1.mesh_resource,field.markers1.mesh_use_embedded_materials
1643354238442949383,10153,1643354238438756942,radar_1,10153,1643354238438756942,radar_1,bbox,8,1,0,65.0,-0.984375,0.0,0.0,0.0,0.0,1.0,3.3125,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10153,1643354238438756942,radar_1,arrow,8,0,0,65.0,-0.984375,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-12.15,-0.9,0.0,,,0
1643354238483130156,10154,1643354238478673934,radar_1,10154,1643354238478673934,radar_1,bbox,8,1,0,64.90625,-1.0,0.0,0.0,0.0,0.0,1.0,3.3125,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10154,1643354238478673934,radar_1,arrow,8,0,0,64.90625,-1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-11.925,-0.9,0.0,,,0
1643354238523959541,10155,1643354238518758058,radar_1,10155,1643354238518758058,radar_1,bbox,8,1,0,64.8125,-1.03125,0.0,0.0,0.0,0.0,1.0,3.296875,1.515625,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10155,1643354238518758058,radar_1,arrow,8,0,0,64.8125,-1.03125,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-11.7,-0.9,0.0,,,0
1643354238562091696,10156,1643354238558660984,radar_1,10156,1643354238558660984,radar_1,bbox,8,1,0,64.71875,-1.046875,0.0,0.0,0.0,0.0,1.0,3.265625,1.53125,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10156,1643354238558660984,radar_1,arrow,8,0,0,64.71875,-1.046875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-11.25,-0.9,0.0,,,0
1643354238603230522,10157,1643354238598670959,radar_1,10157,1643354238598670959,radar_1,bbox,8,1,0,64.640625,-1.046875,0.0,0.0,0.0,0.0,1.0,3.234375,1.546875,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10157,1643354238598670959,radar_1,arrow,8,0,0,64.640625,-1.046875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-11.025,-0.9,0.0,,,0
1643354238642490171,10158,1643354238638685941,radar_1,10158,1643354238638685941,radar_1,bbox,8,1,0,64.546875,-1.046875,0.0,0.0,0.0,0.0,1.0,3.234375,1.546875,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10158,1643354238638685941,radar_1,arrow,8,0,0,64.546875,-1.046875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354238682312063,10159,1643354238678649902,radar_1,10159,1643354238678649902,radar_1,bbox,8,1,0,64.453125,-1.0625,0.0,0.0,0.0,0.0,1.0,3.3125,1.5625,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10159,1643354238678649902,radar_1,arrow,8,0,0,64.453125,-1.0625,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354238724936112,10160,1643354238718765020,radar_1,10160,1643354238718765020,radar_1,bbox,8,1,0,64.328125,-1.0625,0.0,0.0,0.0,0.0,1.0,3.390625,1.578125,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10160,1643354238718765020,radar_1,arrow,8,0,0,64.328125,-1.0625,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354238762001190,10161,1643354238758656024,radar_1,10161,1643354238758656024,radar_1,bbox,8,1,0,64.203125,-1.078125,0.0,0.0,0.0,0.0,1.0,3.5,1.5625,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10161,1643354238758656024,radar_1,arrow,8,0,0,64.203125,-1.078125,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354238801936171,10162,1643354238798667907,radar_1,10162,1643354238798667907,radar_1,bbox,8,1,0,64.078125,-1.0625,0.0,0.0,0.0,0.0,1.0,3.578125,1.5625,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10162,1643354238798667907,radar_1,arrow,8,0,0,64.078125,-1.0625,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
